County,marijuana_Active,marijuana_Intermediate,marijuana_Community,cocaine_Active,cocaine_Intermediate,cocaine_Community,heroin_Active,heroin_Intermediate,heroin_Community
ALAMANCE,9.958,,1.157e-14,,,,372.7909,,
ANSON,,590.5287,,,,,,,
BEAUFORT,,,,,,,,422.0043,
BRUNSWICK,-10.225,,,198.7836,,,224.1975,,
BUNCOMBE,-10.875,,6.569e-15,,142.2491,,,207.9325,
BURKE,,,19.9709,,402.7331,,,,
CABARRUS,-8.1685,,-5.6147,195.1348,185.8657,,163.4671,180.6469,
CALDWELL,,,5.401e-15,,,,,,
CARTERET,,,,524.3531,,,,,
CASWELL,,,-3.2520000000000004e-15,,,,,,
CATAWBA,-7.3544,,,,204.0461,,,347.3958,
CHATHAM,,,33.2548,,,,,,
CLEVELAND,,,,,145.5817,,1031.5206,,
CRAVEN,,529.9959,,,198.0719,,,326.7207,
CUMBERLAND,,,,322.0162,,,,,
DARE,,,17.0192,,,,320.3568,414.6375,
DAVIDSON,-11.1575,,-4.9679,263.8353,,,,,
DAVIE,,,-2.462e-15,,,,,,
DUPLIN,15.0504,,,,,,,,
DURHAM,-8.9899,-199.8573,,214.8377,,,,,
EDGECOMBE,25.2262,212.9935,,,157.1461,,,,
FORSYTH,-6.1295,,,84.4463,,,,,
GASTON,,,-17.7515,,168.9676,,,177.9861,
GUILFORD,,218.0603,,,114.5574,,,85.6002,
HALIFAX,21.0814,520.3006,,,,,,223.0093,
HAYWOOD,,-330.6305,,,,,1241.1519,,
HOKE,,,,,235.9361,,,407.8438,
IREDELL,,,,224.5967,,,,,
JOHNSTON,,,,272.8696,,,,,
LEE,,846.8568,,,,,,434.5126,
LENOIR,,,,,,,,393.8382,
LINCOLN,,,,177.7934,208.3264,,,,
MARTIN,,332.4431,,,,,,,
MECKLENBURG,-8.2848,132.5101,35.7781,,71.2728,,,,
MOORE,,,,249.5274,,,,,
NASH,8.9389,184.0724,19.1197,,140.8519,,,,
ONSLOW,,,,,,,,179.7485,
ORANGE,,,,,429.9883,,,,
PASQUOTANK,,617.8747,,,,,,387.3564,
PENDER,,,,572.1028,,,,,
PERQUIMANS,,,,,279.6693,,,,
PITT,-11.7065,,,,176.5887,,,197.3629,
RANDOLPH,,210.6775,,,189.8597,,,181.2937,
ROBESON,,259.6646,32.0555,,269.4145,,,,
ROCKINGHAM,,,,,,,,289.9273,
ROWAN,,,-6.2022,167.7299,,,,,
RUTHERFORD,,,,,,,,232.7695,
SCOTLAND,,348.6201,,,,,,,
STANLY,,,,,237.96,,479.0074,,
STOKES,,558.1206,,285.6075,,,,,
UNION,15.0087,228.9531,,,,,,157.4191,
WATAUGA,,,,,,,,295.3975,
WAYNE,,,,,,,508.8174,,
YANCEY,169.1978,,,,,,,,
