County,Active,Community,Intermediate
ALAMANCE,2.0,11.0,1.0
ALEXANDER,1.0,1.0,1.0
ANSON,1.0,1.0,
BEAUFORT,1.0,15.0,5.0
BLADEN,,2.0,
BRUNSWICK,25.0,71.0,37.0
BUNCOMBE,6.0,5.0,10.0
BURKE,,1.0,
CABARRUS,24.0,86.0,71.0
CALDWELL,,4.0,1.0
CAMDEN,,1.0,
CARTERET,1.0,9.0,3.0
CASWELL,,,1.0
CATAWBA,2.0,11.0,12.0
CHATHAM,,1.0,
CHEROKEE,,1.0,
CLEVELAND,1.0,3.0,7.0
COLUMBUS,1.0,1.0,1.0
CRAVEN,5.0,26.0,2.0
CUMBERLAND,2.0,5.0,8.0
CURRITUCK,,3.0,1.0
DARE,4.0,15.0,1.0
DAVIDSON,2.0,17.0,15.0
DAVIE,1.0,1.0,4.0
DUPLIN,,3.0,
DURHAM,9.0,1.0,1.0
EDGECOMBE,4.0,8.0,11.0
FORSYTH,20.0,45.0,26.0
FRANKLIN,4.0,13.0,3.0
GASTON,15.0,35.0,20.0
GATES,,,1.0
GRANVILLE,2.0,4.0,
GREENE,,2.0,
GUILFORD,7.0,54.0,53.0
HALIFAX,3.0,16.0,3.0
HARNETT,3.0,10.0,3.0
HAYWOOD,1.0,2.0,1.0
HENDERSON,1.0,11.0,5.0
HERTFORD,,3.0,
HOKE,,2.0,1.0
IREDELL,2.0,24.0,19.0
JACKSON,,1.0,
JOHNSTON,8.0,28.0,9.0
JONES,,3.0,
LEE,2.0,4.0,2.0
LENOIR,,2.0,1.0
LINCOLN,2.0,6.0,6.0
MACON,,2.0,3.0
MCDOWELL,1.0,1.0,1.0
MECKLENBURG,17.0,33.0,29.0
MOORE,,4.0,1.0
NASH,4.0,25.0,16.0
NEW HANOVER,52.0,57.0,269.0
ONSLOW,3.0,20.0,5.0
ORANGE,,2.0,
PAMLICO,1.0,3.0,1.0
PASQUOTANK,1.0,9.0,2.0
PENDER,3.0,8.0,3.0
PERQUIMANS,,1.0,
PERSON,,,1.0
PITT,1.0,17.0,9.0
RANDOLPH,2.0,7.0,5.0
ROCKINGHAM,1.0,3.0,4.0
ROWAN,15.0,23.0,10.0
RUTHERFORD,2.0,8.0,4.0
SAMPSON,5.0,2.0,3.0
STANLY,2.0,1.0,
STOKES,,5.0,1.0
TRANSYLVANIA,,3.0,
TYRRELL,,1.0,
UNION,10.0,25.0,10.0
VANCE,9.0,29.0,11.0
WAKE,27.0,80.0,40.0
WATAUGA,1.0,2.0,2.0
WAYNE,1.0,7.0,7.0
WILKES,,1.0,
WILSON,5.0,11.0,7.0
YADKIN,1.0,5.0,1.0
YANCEY,,,1.0
